category,maxpages
aero-desktop-wallpapers, 516
animals-desktop-wallpapers, 191
architecture-desktop-wallpapers, 43
army-desktop-wallpapers, 24
artistic-desktop-wallpapers, 372
black_and_white-desktop-wallpapers, 99
cartoons-desktop-wallpapers, 55
celebrities-desktop-wallpapers, 151
charity-desktop-wallpapers, 3
city-desktop-wallpapers, 51
computers-desktop-wallpapers, 82
cute-desktop-wallpapers, 27
elements-desktop-wallpapers, 27
food_and_drink-desktop-wallpapers, 41
funny-desktop-wallpapers, 28
games-desktop-wallpapers, 305
girls-desktop-wallpapers, 102
holidays-desktop-wallpapers, 110
love-desktop-wallpapers, 32
motors-desktop-wallpapers, 245
movies-desktop-wallpapers, 117
music-desktop-wallpapers, 34
nature-desktop-wallpapers, 519
seasons-desktop-wallpapers, 207
space-desktop-wallpapers, 58
sports-desktop-wallpapers, 66
travel-desktop-wallpapers, 276
vintage-desktop-wallpapers, 117
